round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
8,heuristic,12,80,0.9572916666666668,1.763293447385447,0.4927083333333334
6,max-cover,12,160,0.46875,5.426773252923234,0.1661458333333333
6,budget,12,160,0.9296875,5.86836051676093,0.2567708333333334
6,heuristic,12,160,0.9921875,5.8947128526278965,0.2213541666666666
9,max-cover,12,80,0.70625,1.6389567359106507,0.353125
9,budget,12,80,0.8989583333333333,1.7168674290911878,0.4354166666666667
9,heuristic,12,80,0.9875,1.6996388655501669,0.4572916666666667
7,max-cover,12,160,0.5989583333333333,2.9237139894905297,0.2125
7,budget,12,160,0.9114583333333334,3.3229737473519863,0.275
7,heuristic,12,160,0.9911458333333332,3.2300470621163044,0.24375
8,max-cover,12,160,0.7744791666666666,4.646315299630302,0.23125
8,budget,12,160,0.9208333333333334,4.955409121962135,0.2802083333333333
8,heuristic,12,160,0.9713541666666666,4.793679424947228,0.2416666666666667
5,max-cover,16,80,0.68125,1.6672570394636237,0.42578125
5,budget,16,80,0.9015625,1.6468655911319343,0.55390625
5,heuristic,16,80,0.95546875,1.679039698140845,0.56875
9,max-cover,12,160,0.621875,4.381559658937855,0.2249999999999999
9,budget,12,160,0.9020833333333332,4.665075091533271,0.2479166666666666
9,heuristic,12,160,0.99375,4.683940473944683,0.2374999999999999
6,max-cover,16,80,0.6703125,1.0063153353550012,0.4953125
6,budget,16,80,0.93203125,1.0376810324216286,0.63203125
6,heuristic,16,80,0.959375,1.0420425656531676,0.63203125
5,max-cover,16,160,0.56953125,5.069439594789936,0.24375
5,budget,16,160,0.892578125,5.446066652142806,0.343359375
5,heuristic,16,160,0.9828125,5.365218451150936,0.285546875
7,max-cover,16,80,0.67734375,1.5826117250666771,0.44921875
7,budget,16,80,0.8984375,1.6082492165950533,0.57578125
7,heuristic,16,80,0.96953125,1.609379923475766,0.61640625
8,max-cover,16,80,0.63671875,2.182731360293241,0.44921875
8,budget,16,80,0.9171875,2.2320609493518004,0.61875
8,heuristic,16,80,0.9546875,2.233654296624052,0.63359375
6,max-cover,16,160,0.62265625,2.9386117636499898,0.27578125
6,budget,16,160,0.948828125,3.173878665446538,0.366796875
6,heuristic,16,160,0.979296875,3.056887823100521,0.323046875
9,max-cover,16,80,0.56953125,1.213879466915647,0.40625
9,budget,16,80,0.9421875,1.2245951607249876,0.634375
9,heuristic,16,80,0.91015625,1.2252770884501314,0.603125
7,max-cover,16,160,0.599609375,3.4656039332797968,0.2703125
7,budget,16,160,0.917578125,3.66565096897762,0.3625
7,heuristic,16,160,0.97734375,3.6249552256193263,0.303515625
8,max-cover,16,160,0.530859375,3.659055636712341,0.270703125
8,budget,16,160,0.92109375,3.867660209658749,0.361328125
8,heuristic,16,160,0.977734375,3.80113693274042,0.324609375
5,max-cover,20,80,0.7150000000000001,1.1688587746385053,0.5112500000000001
5,budget,20,80,0.953125,1.1958615921679452,0.6643750000000002
5,heuristic,20,80,0.968125,1.192648444279636,0.6843750000000001
9,max-cover,16,160,0.659765625,2.750874005746169,0.26640625
9,budget,16,160,0.87734375,2.931617837354302,0.35625
9,heuristic,16,160,0.909375,2.905026642328606,0.320703125
6,max-cover,20,80,0.683125,1.3553403352712965,0.48875
6,budget,20,80,0.97625,1.2867744115119966,0.8450000000000001
6,heuristic,20,80,0.889375,1.3179328296847774,0.6643749999999999
7,max-cover,20,80,0.6637500000000001,2.1349139777879693,0.47625
7,budget,20,80,0.964375,2.118447752156537,0.7506250000000001
